[2026-03-09 22:42:19] 감시 시작: session=tmp-gemini interval=1s duration=900s
[2026-03-09 22:42:19] llm=gemini model= fallback_llm=glm fallback_model= capture=120 suspect_waits=1s/1s
[2026-03-09 22:42:19] tmux target: tmp-gemini
[2026-03-09 22:42:49] base dual capture
[2026-03-09 22:42:50] base dual capture
[2026-03-09 22:42:51] base dual capture
[2026-03-09 22:42:52] base dual capture
[2026-03-09 22:42:53] base dual capture
[2026-03-09 22:42:54] base dual capture
[2026-03-09 22:42:55] base dual capture
[2026-03-09 22:42:56] base dual capture
[2026-03-09 22:42:57] base dual capture
[2026-03-09 22:42:58] base dual capture
[2026-03-09 22:42:59] base dual capture
[2026-03-09 22:43:00] base dual capture
[2026-03-09 22:43:01] base dual capture
[2026-03-09 22:43:03] base dual capture
[2026-03-09 22:43:04] base dual capture
[2026-03-09 22:43:05] base dual capture
[2026-03-09 22:43:06] base dual capture
[2026-03-09 22:43:07] base dual capture
[2026-03-09 22:43:08] base dual capture
[2026-03-09 22:43:09] base dual capture
[2026-03-09 22:43:10] base dual capture
[2026-03-09 22:43:11] base dual capture
[2026-03-09 22:43:12] base dual capture
[2026-03-09 22:43:13] base dual capture
[2026-03-09 22:43:14] base dual capture
[2026-03-09 22:43:15] base dual capture
[2026-03-09 22:43:16] base dual capture
[2026-03-09 22:43:17] base dual capture
[2026-03-09 22:43:18] base dual capture
[2026-03-09 22:43:19] base dual capture
[2026-03-09 22:43:20] base dual capture
[2026-03-09 22:43:21] base dual capture
[2026-03-09 22:43:22] base dual capture
[2026-03-09 22:43:23] base dual capture
[2026-03-09 22:43:24] base dual capture
[2026-03-09 22:43:25] base dual capture
[2026-03-09 22:43:26] base dual capture
[2026-03-09 22:43:27] base dual capture
[2026-03-09 22:43:28] base dual capture
[2026-03-09 22:43:29] base dual capture
[2026-03-09 22:43:30] base dual capture
[2026-03-09 22:43:31] base dual capture
[2026-03-09 22:43:32] base dual capture
[2026-03-09 22:43:33] base dual capture
[2026-03-09 22:43:34] base dual capture
[2026-03-09 22:43:35] base dual capture
[2026-03-09 22:43:36] base dual capture
[2026-03-09 22:43:37] base dual capture
[2026-03-09 22:43:38] base dual capture
[2026-03-09 22:43:39] base dual capture
[2026-03-09 22:43:40] base dual capture
[2026-03-09 22:43:41] base dual capture
[2026-03-09 22:43:42] base dual capture
[2026-03-09 22:43:43] base dual capture
[2026-03-09 22:43:44] base dual capture
[2026-03-09 22:43:45] base dual capture
[2026-03-09 22:43:46] base dual capture
[2026-03-09 22:43:47] base dual capture
[2026-03-09 22:43:48] base dual capture
[2026-03-09 22:43:49] base dual capture
[2026-03-09 22:43:50] base dual capture
[2026-03-09 22:43:51] base dual capture
[2026-03-09 22:43:52] base dual capture
[2026-03-09 22:43:53] base dual capture
[2026-03-09 22:43:54] base dual capture
[2026-03-09 22:43:55] base dual capture
[2026-03-09 22:43:56] base dual capture
[2026-03-09 22:43:57] base dual capture
[2026-03-09 22:43:58] base dual capture
[2026-03-09 22:43:59] base dual capture
[2026-03-09 22:44:00] base dual capture
[2026-03-09 22:44:01] base dual capture
[2026-03-09 22:44:02] base dual capture
[2026-03-09 22:44:03] base dual capture
[2026-03-09 22:44:04] base dual capture
[2026-03-09 22:44:05] base dual capture
[2026-03-09 22:44:06] base dual capture
[2026-03-09 22:44:07] base dual capture
[2026-03-09 22:44:08] base dual capture
[2026-03-09 22:44:09] base dual capture
[2026-03-09 22:44:10] base dual capture
[2026-03-09 22:44:11] base dual capture
[2026-03-09 22:44:12] base dual capture
[2026-03-09 22:44:13] base dual capture
[2026-03-09 22:44:14] base dual capture
[2026-03-09 22:44:15] base dual capture
[2026-03-09 22:44:16] base dual capture
[2026-03-09 22:44:17] base dual capture
[2026-03-09 22:44:18] base dual capture
[2026-03-09 22:44:19] base dual capture
[2026-03-09 22:44:20] base dual capture
[2026-03-09 22:44:21] base dual capture
[2026-03-09 22:44:22] base dual capture
[2026-03-09 22:44:23] base dual capture
[2026-03-09 22:44:24] base dual capture
[2026-03-09 22:44:25] base dual capture
[2026-03-09 22:44:26] base dual capture
[2026-03-09 22:44:27] base dual capture
[2026-03-09 22:44:28] base dual capture
[2026-03-09 22:44:29] base dual capture
[2026-03-09 22:44:30] base dual capture
[2026-03-09 22:44:31] base dual capture
[2026-03-09 22:44:32] base dual capture
[2026-03-09 22:44:33] base dual capture
[2026-03-09 22:44:34] base dual capture
[2026-03-09 22:44:35] base dual capture
[2026-03-09 22:44:36] base dual capture
[2026-03-09 22:44:37] base dual capture
[2026-03-09 22:44:38] base dual capture
[2026-03-09 22:44:40] base dual capture
[2026-03-09 22:44:41] base dual capture
[2026-03-09 22:44:42] base dual capture
[2026-03-09 22:44:43] base dual capture
[2026-03-09 22:44:44] base dual capture
[2026-03-09 22:44:45] base dual capture
[2026-03-09 22:44:46] base dual capture
[2026-03-09 22:44:47] base dual capture
[2026-03-09 22:44:48] base dual capture
[2026-03-09 22:44:49] base dual capture
[2026-03-09 22:44:50] base dual capture
[2026-03-09 22:44:51] base dual capture
[2026-03-09 22:44:52] base dual capture
[2026-03-09 22:44:53] base dual capture
[2026-03-09 22:44:54] base dual capture
[2026-03-09 22:44:55] base dual capture
[2026-03-09 22:44:56] base dual capture
[2026-03-09 22:44:57] base dual capture
[2026-03-09 22:44:58] base dual capture
[2026-03-09 22:44:59] base dual capture
[2026-03-09 22:45:00] base dual capture
[2026-03-09 22:45:01] base dual capture
[2026-03-09 22:45:02] base dual capture
[2026-03-09 22:45:03] base dual capture
[2026-03-09 22:45:04] base dual capture
[2026-03-09 22:45:05] base dual capture
[2026-03-09 22:45:06] base dual capture
[2026-03-09 22:45:07] base dual capture
[2026-03-09 22:45:08] base dual capture
[2026-03-09 22:45:09] base dual capture
[2026-03-09 22:45:10] base dual capture
[2026-03-09 22:45:11] base dual capture
[2026-03-09 22:45:12] base dual capture
[2026-03-09 22:45:13] base dual capture
[2026-03-09 22:45:14] base dual capture
[2026-03-09 22:45:15] base dual capture
[2026-03-09 22:45:16] base dual capture
[2026-03-09 22:45:17] base dual capture
[2026-03-09 22:45:18] base dual capture
[2026-03-09 22:45:19] base dual capture
[2026-03-09 22:45:20] base dual capture
[2026-03-09 22:45:21] base dual capture
[2026-03-09 22:45:22] base dual capture
[2026-03-09 22:45:23] base dual capture
[2026-03-09 22:45:24] base dual capture
[2026-03-09 22:45:25] base dual capture
[2026-03-09 22:45:26] base dual capture
[2026-03-09 22:45:27] base dual capture
[2026-03-09 22:45:28] base dual capture
[2026-03-09 22:45:29] base dual capture
[2026-03-09 22:45:30] base dual capture
[2026-03-09 22:45:31] base dual capture
[2026-03-09 22:45:32] base dual capture
[2026-03-09 22:45:33] base dual capture
[2026-03-09 22:45:34] base dual capture
[2026-03-09 22:45:35] base dual capture
[2026-03-09 22:45:36] base dual capture
[2026-03-09 22:45:37] base dual capture
[2026-03-09 22:45:38] base dual capture
[2026-03-09 22:45:39] base dual capture
[2026-03-09 22:45:40] base dual capture
[2026-03-09 22:45:41] base dual capture
[2026-03-09 22:45:42] base dual capture
[2026-03-09 22:45:43] base dual capture
[2026-03-09 22:45:44] base dual capture
